vin,customerID,startdate,partnumber,quantity,price,vendorname
00AIVKIDO01487633,110,2021-01-17,TP-BAED0025,4,155.32,Plexzap
00AIVKIDO01487633,110,2021-01-17,ZN-EAES0114,1,44.81,Nam-zim
00AIVKIDO01487633,110,2021-05-26,BH-EAEM0145,3,7.9,Zathunicon
00AIVKIDO01487633,110,2021-05-26,BH-PACBS0184,1,30.54,Finhigh
00AIVKIDO01487633,110,2021-05-26,BM-EAEM0139,4,140.2,Funholding
00AIVKIDO01487633,110,2021-05-26,ZN-BAE0019,2,109.27,Blackzim
00AIVKIDO01487633,110,2021-05-26,ZN-EAEM0150,4,93.29,Toughzap
00AIVKIDO01487633,110,2021-07-25,PP-PACBS0163,1,10.51,Finhigh
00AIVKIDO01487633,110,2021-07-25,PP-PACBS0178,2,35.17,Nam-zim
00AIVKIDO01487633,110,2021-08-17,BH-EAES0123,2,30.07,Finhigh
01WR7E2ZMCD216522,5,2021-07-03,ZN-EAEM0139,1,73.66,Funholding
01WR7E2ZMCD216522,5,2021-07-24,BM-BAE0009,1,65.02,Betatech
01WR7E2ZMCD216522,5,2021-08-13,BH-EAEIS0080,3,54.88,Nam-zim
01WR7E2ZMCD216522,5,2021-08-13,BH-EAES0102,3,2.99,Toughzap
01WR7E2ZMCD216522,5,2021-08-13,BM-BAEW0036,2,70.11,Zathunicon
01WR7E2ZMCD216522,5,2021-08-13,BM-EAEGAM0063,1,73.75,Blackzim
01WR7E2ZMCD216522,5,2021-08-13,FG-BAE0016,1,64.8,Betatech
01WR7E2ZMCD216522,5,2021-08-13,FG-BAEW0034,4,26.84,Finhigh
01WR7E2ZMCD216522,5,2021-08-24,FH-EAEESS0054,3,43.13,Blackzim
01WR7E2ZMCD216522,5,2021-08-24,FH-EAEESS0060,3,10.55,Plexzap
01WR7E2ZMCD216522,5,2021-08-24,FH-EAES0124,1,55.1,Finhigh
01WR7E2ZMCD216522,5,2021-08-24,NM-EAELASS0084,4,55.94,Plexzap
01WR7E2ZMCD216522,5,2021-08-24,NM-PACBS0165,2,51.09,Betatech
01WR7E2ZMCD216522,5,2021-08-24,ZN-BAEW0036,4,27.02,Plexzap
01WR7E2ZMCD216522,5,2021-08-24,ZN-PACBS0178,3,72.62,Funholding
01WR7E2ZMCD216522,5,2021-08-28,FG-EAELASS0084,1,76.07,Nam-zim
01WR7E2ZMCD216522,5,2021-08-28,FG-PACBS0169,1,71.04,Toughzap
01WR7E2ZMCD216522,5,2021-08-28,PP-10141,2,5.25,Blackzim
01WR7E2ZMCD216522,5,2021-08-28,PP-PACBS0189,4,51.6,Funholding
01WR7E2ZMCD216522,5,2021-08-28,TP-EAEGAM0064,2,61.21,Zathunicon
01WR7E2ZMCD216522,5,2021-09-13,BH-EAEGAM0067,1,44.42,Funholding
01WR7E2ZMCD216522,5,2021-09-13,BH-PACBS0164,4,54.77,Toughzap
01WR7E2ZMCD216522,5,2021-09-13,FH-BAE0010,3,19.09,Blackzim
01WR7E2ZMCD216522,5,2021-09-13,FH-PACBS0185,1,1.34,Zathunicon
01WR7E2ZMCD216522,5,2021-09-13,NM-EAELASS0089,3,65.55,Zathunicon
01WR7E2ZMCD216522,5,2021-09-13,NM-EAEWH0129,2,37.97,Blackzim
01WR7E2ZMCD216522,5,2021-09-13,PP-EAEIS0079,1,69.52,Funholding
01WR7E2ZMCD216522,5,2021-09-13,PP-PACBS0167,3,75.37,Nam-zim
01WR7E2ZMCD216522,5,2021-09-13,ZN-EAEM0143,4,56.79,Funholding
06XZOKN8UAY309163,56,2020-03-10,ZN-EAEIS0082,3,19.89,Zathunicon
06XZOKN8UAY309163,56,2020-03-10,ZN-EAES0106,2,4.43,Zathunicon
