vin,cid,username,soldprice,solddate
00AIVKIDO01487633,110,user19,6307.12,2020-12-13
01WR7E2ZMCD216522,5,user10,3761.09,2021-06-28
06XZOKN8UAY309163,56,roland,1263.15,2003-07-20
073HOEWCHAF741925,53,user10,6395.17,2003-06-21
07TSE0YYIZF380247,55,user04,2271.02,2020-10-27
07W0YPOJ5ME337155,170,user10,5541.84,2004-11-21
0BT52YYB1L8670257,56,user32,15835.96,2020-11-21
0EPPRCZZ8NW751990,187,roland,5682.03,2012-06-20
0I0Q707FJ2E520815,153,user04,2110.63,2003-11-21
0K0DP4SDKL0912273,15,user01,3323.71,2020-09-22
0UBBG820VBK445621,183,user21,3914.2,2021-04-21
0VWWXBNXE6N897485,63,user23,1543.97,2010-01-20
0WPI14P1N3Y139809,123,user01,4839.43,2021-01-29
0YQVT1ME4G3999928,180,user21,1900.06,2006-02-21
15G3KHMPQ6Q659826,104,user22,4525.43,2011-07-20
1DQL1LHOWDJ517215,188,user06,1293.88,2021-01-16
1EF7NFU0EUT973245,102,user10,3005.66,2020-10-28
1FU8E0GMYMW270793,188,user21,3400,2005-09-20
1NGZ4FLKC0Y272420,83,user10,2443.11,2006-05-21
1XHDZEREQ7I052484,128,user04,6786.62,2021-03-21
20DS0RGMDXW132327,71,user10,1959.43,2006-09-21
21SSFP0O1TZ975822,65,user04,2942.34,2021-05-19
222BHPCRR2U716446,192,user23,4007.78,2012-05-20
23XU4U8IFDL261229,50,user21,3239.44,2021-02-24
26OCQWEQYJV636712,105,user22,2519.51,2021-06-19
26RIMRHVSQK619881,174,roland,1359.46,2020-11-26
280ECEXOEHP375800,163,user10,3306.53,2005-06-21
2GJ51MZ0A1N199895,38,user21,4181.44,2021-02-22
2H6ZZF8OOXC822443,134,user22,4707.07,2020-06-29
2JFUVPW8OEP241581,121,user22,3585.97,2006-04-21
2JS82H11FSA911163,13,user22,4549.97,2021-04-15
2MNNLWJKNT4620363,87,user04,3710.95,2021-03-15
2NMR3SMFNAZ813043,82,user32,2956.55,2021-06-21
2UL7JBUREY0725461,161,user23,4768.2,2021-05-31
2W7BN5RJGCI094698,21,user21,11315.92,2021-06-26
2XMKC0W8ARB619752,152,user01,2419.75,2007-12-20
2ZGQSMRVMSR266772,124,roland,1354.38,2021-06-30
36GPKZLLJM1116960,180,user04,5496.27,2020-04-26
36HU6JXKV0B908236,139,user04,4559.97,2007-06-20
3856NH1QBEC536316,183,user23,2243.57,2020-01-18
3A03KTHXJ6O098081,189,user04,3485.45,2006-10-21
3A3OOF2JN5W951740,61,user32,2686.69,2007-03-21
3BZD4P4QMXX657876,62,roland,3285.81,2020-02-25
3C8P2TNWAH7477883,195,user06,3359.43,2020-03-23
3J73EOBU1AT381615,167,user21,7097.88,2007-02-21
3JLCARWCAYY553033,186,user21,1246.74,2021-06-20
3LSIXEX21UG135253,26,user23,6301.2,2020-07-17
3PO4C2PYJG2012419,159,user32,3011.23,2006-09-21
3WLVE4GIZOK699230,73,user10,4262.73,2007-03-21
